name,hp,attack,defense,sp_attack,sp_defense,speed,base_total,is_legendary
Bulbasaur,45,49,49,65,65,45,318,0
Ivysaur,60,62,63,80,80,60,405,0
Venusaur,80,82,83,100,100,80,525,0
Charmander,39,52,43,60,50,65,309,0
Charmeleon,58,64,58,80,65,80,405,0
Charizard,78,84,78,109,85,100,534,0
Squirtle,44,48,65,50,64,43,314,0
Wartortle,59,63,80,65,80,58,405,0
Blastoise,79,83,100,85,105,78,530,0
Caterpie,45,30,35,20,20,45,195,0
Metapod,50,20,55,25,25,30,205,0
Butterfree,60,45,50,90,80,70,395,0
Weedle,40,35,30,20,20,50,195,0
Kakuna,45,25,50,25,25,35,205,0
Beedrill,65,90,40,45,80,145,395,0
Pidgey,40,45,40,35,35,56,251,0
Pidgeotto,63,60,55,50,50,71,349,0
Pidgeot,83,83,80,75,70,70,479,0
Rattata,30,56,35,25,35,72,253,0
Raticate,75,71,70,40,80,77,413,0
Spearow,40,60,30,31,31,70,262,0
Fearow,65,90,65,61,61,100,442,0
Ekans,35,60,44,40,54,55,288,0
Arbok,60,95,69,65,79,80,448,0
Pikachu,35,55,40,50,50,90,320,0
Raichu,60,85,50,95,85,110,485,0
Sandshrew,50,75,90,10,35,40,300,0
Sandslash,75,100,120,25,65,65,450,0
Nidoran♀,55,47,52,40,40,41,275,0
Nidorina,70,62,67,55,55,56,365,0
Nidoqueen,90,92,87,75,85,76,505,0
Nidoran♂,46,57,40,40,40,50,273,0
Nidorino,61,72,57,55,55,65,365,0
Nidoking,81,102,77,85,75,85,505,0
Clefairy,70,45,48,60,65,35,323,0
Clefable,95,70,73,95,90,60,483,0
Vulpix,38,41,40,50,65,65,299,0
Ninetales,73,67,75,81,100,109,505,0
Jigglypuff,115,45,20,45,25,20,270,0
Wigglytuff,140,70,45,85,50,45,435,0
Zubat,40,45,35,30,40,55,245,0
Golbat,75,80,70,65,75,90,455,0
Oddish,45,50,55,75,65,30,320,0
Gloom,60,65,70,85,75,40,395,0
Vileplume,75,80,85,110,90,50,490,0
Paras,35,70,55,45,55,25,285,0
Parasect,60,95,80,60,80,30,405,0
Venonat,60,55,50,40,55,45,305,0
Venomoth,70,65,60,90,75,90,450,0
Diglett,10,55,30,35,45,90,265,0
Dugtrio,35,100,60,50,70,110,425,0
Meowth,40,35,35,50,40,90,290,0
Persian,65,60,60,75,65,115,440,0
Psyduck,50,52,48,65,50,55,320,0
Golduck,80,82,78,95,80,85,500,0
Mankey,40,80,35,35,45,70,305,0
Primeape,65,105,60,60,70,95,455,0
Growlithe,55,70,45,70,50,60,350,0
Arcanine,90,110,80,100,80,95,555,0
Poliwag,40,50,40,40,40,90,300,0
Poliwhirl,65,65,65,50,50,90,385,0
Poliwrath,90,95,95,70,90,70,510,0
Abra,25,20,15,105,55,90,310,0
Kadabra,40,35,30,120,70,105,400,0
Alakazam,55,50,45,135,95,120,500,0
Machop,70,80,50,35,35,35,305,0
Machoke,80,100,70,50,60,45,405,0
Machamp,90,130,80,65,85,55,505,0
Bellsprout,50,75,35,70,30,40,300,0
Weepinbell,65,90,50,85,45,55,390,0
Victreebel,80,105,65,100,70,70,490,0
Tentacool,40,40,35,50,100,70,335,0
Tentacruel,80,70,65,80,120,100,515,0
Geodude,40,80,100,30,30,20,300,0
Graveler,55,95,115,45,45,35,390,0
Golem,80,120,130,55,65,45,495,0
Ponyta,50,85,55,65,65,90,410,0
Rapidash,65,100,70,80,80,105,500,0
Slowpoke,90,65,65,40,40,15,315,0
Slowbro,95,75,180,130,80,30,590,0
Magnemite,25,35,70,95,55,45,325,0
Magneton,50,60,95,120,70,70,465,0
Farfetch'd,52,90,55,58,62,60,377,0
Doduo,35,85,45,35,35,75,310,0
Dodrio,60,110,70,60,60,110,470,0
Seel,65,45,55,45,70,45,325,0
Dewgong,90,70,80,70,95,70,475,0
Grimer,80,80,50,40,50,25,325,0
Muk,105,105,75,65,100,50,500,0
Shellder,30,65,100,45,25,40,305,0
Cloyster,50,95,180,85,45,70,525,0
Gastly,30,35,30,100,35,80,310,0
Haunter,45,50,45,115,55,95,405,0
Gengar,60,65,80,170,95,130,600,0
Onix,35,45,160,30,45,70,385,0
Drowzee,60,48,45,43,90,42,328,0
Hypno,85,73,70,73,115,67,483,0
Krabby,30,105,90,25,25,50,325,0
Kingler,55,130,115,50,50,75,475,0
Voltorb,40,30,50,55,55,100,330,0
Electrode,60,50,70,80,80,150,490,0
Exeggcute,60,40,80,60,45,40,325,0
Exeggutor,95,105,85,125,75,45,530,0
Cubone,50,50,95,40,50,35,320,0
Marowak,60,80,110,50,80,45,425,0
Hitmonlee,50,120,53,35,110,87,455,0
Hitmonchan,50,105,79,35,110,76,455,0
Lickitung,90,55,75,60,75,30,385,0
Koffing,40,65,95,60,45,35,340,0
Weezing,65,90,120,85,70,60,490,0
Rhyhorn,80,85,95,30,30,25,345,0
Rhydon,105,130,120,45,45,40,485,0
Chansey,250,5,5,35,105,50,450,0
Tangela,65,55,115,100,40,60,435,0
Kangaskhan,105,95,85,40,80,90,490,0
Horsea,30,40,70,70,25,60,295,0
Seadra,55,65,95,95,45,85,440,0
Goldeen,45,67,60,35,50,63,320,0
Seaking,80,92,65,65,80,68,450,0
Staryu,30,45,55,70,55,85,340,0
Starmie,60,75,85,100,85,115,520,0
Mr. Mime,40,45,65,100,120,90,460,0
Scyther,70,110,80,55,80,105,500,0
Jynx,65,50,35,115,95,95,455,0
Electabuzz,65,83,57,95,85,105,490,0
Magmar,65,95,57,100,85,93,495,0
Pinsir,65,155,120,65,90,105,600,0
Tauros,75,100,95,40,70,110,490,0
Magikarp,20,10,55,15,20,80,200,0
Gyarados,95,125,79,60,100,81,540,0
Lapras,130,85,80,85,95,60,535,0
Ditto,48,48,48,48,48,48,288,0
Eevee,55,55,50,45,65,55,325,0
Vaporeon,130,65,60,110,95,65,525,0
Jolteon,65,65,60,110,95,130,525,0
Flareon,65,130,60,95,110,65,525,0
